id,collocation,label,synonym,source,sentence_with_gap,sentence_filled
1,беречь деньги,1,экономить,dict,Он привык [MASK] и всегда записывал каждую трату.,Он привык беречь деньги и всегда записывал каждую трату.
2,беречь как зеницу,1,ценить,nat_corpus,"Старинную икону дед [MASK], не позволяя никому к ней прикасаться.","Старинную икону дед берёг как зеницу, не позволяя никому к ней прикасаться."
3,беречь нервы,0,-,nat_corpus,,
4,беречь память,1,чтить,nat_corpus,Даже спустя многие годы она продолжала [MASK] о погибшем друге и рассказывала о нем детям.,Даже спустя многие годы она продолжала беречь память о погибшем друге и рассказывала о нем детям.
5,беречь силы,0,-,nat_corpus,,
6,бить баклуши,1,бездельничать,nat_corpus,"Вместо того чтобы работать, он предпочитал [MASK] и лениться, лишь изображая занятость.","Вместо того чтобы работать, он предпочитал бить баклуши и лениться, лишь изображая занятость."
7,бить отбой,0,-,nat_corpus,,
8,бить посуду,0,-,nat_corpus,,
9,бить рекорды,1,побеждать,nat_corpus,"Спортсен смог [MASK] прошлого рекордсмена мира, показав лучший результат за всю историю соревнований.","Спортсен смог побить рекорд прошлого рекордсмена мира, показав лучший результат за всю историю соревнований."
10,бить тревогу,1,встревожить,dict,После тревожных новостей о катастрофе в регионе власти начали [MASK] и мобилизовали экстренные службы.,После тревожных новостей о катастрофе в регионе власти начали бить тревогу и мобилизовали экстренные службы.
11,бить человека,0,-,nat_corpus,,
12,брать барьер,1,преодолевать,dict,Всадники летели сломя голову впереди эскадрона и [MASK] на скачках.,Всадники летели сломя голову впереди эскадрона и брали барьеры на скачках.
13,брать билет,0,-,nat_corpus,,
14,брать верх,1,опередить,dict,"Команда сумела [MASK] в решающий момент и в итоге победила соперника, обогнав его на несколько секунд.","Команда сумела взять верх в решающий момент и в итоге победила соперника, обогнав его на несколько секунд."
15,брать вину на себя,1,отвечать,dict,"Понимая, что друг может пострадать, он решил [MASK] за этот проступок, не дожидаясь разбирательства.","Понимая, что друг может пострадать, он решил взять вину на себя за этот проступок, не дожидаясь разбирательства."
16,брать за правило,1,следовать,dict,Он [MASK] регулярные тренировки и действительно придерживался этого правила.,Он взял за правило регулярные тренировки и действительно придерживался этого правила.
17,брать кровь,0,-,nat_corpus,,
18,брать посуду,0,-,nat_corpus,,
19,брать трубку,0,-,nat_corpus,,
20,бросать в бой,1,использовать,dict,"Полководцу просто надо знать и понимать, кого и когда [MASK] и кого беречь для более тяжелых боев.","Полководцу просто надо знать и понимать, кого и когда бросать в бой и кого беречь для более тяжелых боев."
21,бросать взгляд,1,посмотреть,dict,"Каждый раз, входя в кабинет, он машинально [MASK] на часы и документы на столе.","Каждый раз, входя в кабинет, он машинально бросал взгляд на часы и документы на столе."
22,бросать взор,1,посмотреть,dict,"Из окна башни он [MASK] вдаль, надеясь заметить хоть какую-то движущуюся фигуру.","Из окна башни он бросал взор вдаль, надеясь заметить хоть какую-то движущуюся фигуру."
23,бросать жребий,0,-,nat_corpus,,
24,бросать камень,0,-,nat_corpus,,
25,бросать на пол,0,-,nat_corpus,,
26,бросать обвинение,1,обвинить,dict,"Не имея доказательств, он всё равно [MASK] в адрес коллеги, чем вызвал скандал.","Не имея доказательств, он всё равно бросил обвинение в адрес коллеги, чем вызвал скандал."
27,бросать учебу,0,-,nat_corpus,,
28,бросаться в атаку,1,атаковать,dict,"Услышав выстрел, солдаты без колебаний [MASK], не дожидаясь приказа.","Услышав выстрел, солдаты без колебаний бросились в атаку, не дожидаясь приказа."
29,бросаться в глаза,1,выделяться,nat_corpus,Его внешний вид сразу [MASK] даже самым невнимательным наблюдателям.,Его внешний вид сразу бросался в глаза даже самым невнимательным наблюдателям.
30,бросаться в объятия,1,обнять,dict,"После долгих лет разлуки она не сдержалась и [MASK], зарывшись лицом в его плечо.","После долгих лет разлуки она не сдержалась и бросилась в объятия, зарывшись лицом в его плечо."
31,бросаться в постель,0,-,nat_corpus,,
32,бросаться мячом,0,-,nat_corpus,,
33,бросаться обещаниями,1,обещать,dict,В предвыборной гонке кандидат щедро [MASK] изменить все сферы жизни общества к лучшему.,В предвыборной гонке кандидат щедро бросался обещаниями изменить все сферы жизни общества к лучшему.
34,будить в ночи,0,-,nat_corpus,,
35,будить воображение,1,взбудоражить,nat_corpus,"Захватывающая книга сразу [MASK], рисуя перед читателем яркие и необычные картины.","Захватывающая книга сразу будила воображение, рисуя перед читателем яркие и необычные картины."
36,будить воспоминание,1,напомнить,nat_corpus,Знакомая мелодия внезапно [MASK] о беззаботном счастливом детстве.,Знакомая мелодия внезапно разбудила воспоминание о беззаботном счастливом детстве.
37,будить зверя,1,гневить,nat_corpus,"Не [MASK] во мне - ты знаешь, каким страшным и жестоким я могу быть в порыве гнева.","Не буди зверя во мне - ты знаешь, каким страшным и жестоким я могу быть в порыве гнева."
38,будить мысль,1,озадачивать,dict,Неожиданный вопрос преподавателя [MASK] у студента и заставил по-новому взглянуть на проблему.,Неожиданный вопрос преподавателя разбудил мысль у студента и заставил по-новому взглянуть на проблему.
39,будить ребенка,0,-,nat_corpus,,
40,будить с утра,0,-,nat_corpus,,
41,будить стуком,0,-,nat_corpus,,
42,быть без сознания,0,-,nat_corpus,,
43,быть в заблуждениии,1,заблуждаться,dict,"Он долго [MASK] насчет ее характера, потому что игнорировал реальность и не хотел смотреть правде в глаза.","Он долго был в заблуждении насчет ее характера, потому что игнорировал реальность и не хотел смотреть правде в глаза."
44,быть в зависимости,1,зависеть,dict,"После увольнения он продолжал [MASK] от родителей, не имея собственного дохода.","После увольнения он продолжал быть в зависимости от родителей, не имея собственного дохода."
45,быть в затруднении,1,затрудняться,dict,"Он долго [MASK] после увольнения, и эти сложнсоти сильно вымотали его.","Он долго был в затруднении после увольнения, и эти сложнсоти сильно вымотали его."
46,быть в курсе,1,знать,dict,"Хотя его это напрямую не касалось, он старался всегда [MASK] происходящего.","Хотя его это напрямую не касалось, он старался всегда быть в курсе происходящего."
47,быть готовым,0,-,nat_corpus,,
48,быть ответственным,0,-,nat_corpus,,
49,быть пьяным,0,-,nat_corpus,,
50,вбить в голову,1,запомнить,dict,"Хотя я пытался буквально [MASK] это правило и зазубрить его, я все равно продолжал путаться.","Хотя я пытался буквально  вбить в голову это правило и зазубрить его, я все равно продолжал путаться."
51,вбить гвоздь,0,-,nat_corpus,,
52,вводить в бой,1,атаковать,dict,"Командование решило [MASK] резервные части, чтобы усилить оборону на левом фланге.","Командование решило ввести в бой резервные части, чтобы усилить оборону на левом фланге."
53,вводить в заблуждение,1,обмануть,dict,"Своими двусмысленными словами он намеренно [MASK] собеседника, чтобы сбить его с толку.","Своими двусмысленными словами он намеренно вводил в заблуждение собеседника, чтобы сбить его с толку."
54,вводить в игру,0,-,nat_corpus,,
55,вводить в искушение,1,искушать,dict,"Хитрый демон неустанно [MASK] паломника, надеясь склонить его к греху.","Хитрый демон неустанно вводил в искушение паломника, надеясь склонить его к греху."
56,вводить в кровь,0,-,nat_corpus,,
57,вводить в курс,1,объяснять,dict,"Нового сотрудника быстро [MASK] дела, чтобы он мог приступить к обязанностям без промедления.","Нового сотрудника быстро ввели в курс дела, чтобы он мог приступить к обязанностям без промедления."
58,вводить лекарство,0,-,nat_corpus,,
59,вводить принцип,0,-,nat_corpus,,
60,вгонять в краску,1,смутить,dict,"Его комплимент был настолько неожиданным, что он мгновенно [MASK] девушку.","Его комплимент был настолько неожиданным, что он мгновенно вогнал в краску девушку."
61,вгонять в мысли,0,-,nat_corpus,,
62,вдаваться в анализ,0,-,nat_corpus,,
63,вдаваться в берег,0,-,nat_corpus,,
64,вдаваться в дебри,1,закапываться,nat_corpus,"Мы не стали [MASK] юридических нюансов, чтобы не затягивать обсуждение.","Мы не стали вдаваться в дебри юридических нюансов, чтобы не затягивать обсуждение."
65,вдаваться в детали,1,детализировать,dict,"Писатель не стал [MASK] описания окружения, сосредоточившись на действиях героев.","Писатель не стал вдаваться в детали описания окружения, сосредоточившись на действиях героев."
66,вдаваться в материк,0,-,nat_corpus,,
67,вдаваться в подробности,1,детализировать,dict,"Она никогда не [MASK], рассказывая о своем прошлом, и избегала острых тем, связанных с ним. ","Она никогда не вдавалась в подробности, рассказывая о своем прошлом, и избегала острых тем, связанных с ним. "
68,вдаваться в сушу,0,-,nat_corpus,,
